OP: 2  
node: 5  
Multiplex: 2  
vehicle: 5  
version dump: 10 
Status: 7  
Step: 11 
Version: 2.07.00 ÿÿÿÿÿÿ
//----------
Diag: 0x742, 0x02, 0x10, 0xB0, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF
Diag: 0x742, 0x03, 0x31, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x03, 0x71, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x03, 0x31, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x03, 0x71, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x03, 0x31, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x03, 0x71, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x03, 0x31, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x03, 0x71, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x03, 0x31, 0xA0, 0x01, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x03, 0x71, 0xA0, 0x02, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0x08, 0x34, 0x00, 0x40, 0x00, 0x00, 0x00

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x40, 0x00, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x02, 0x74, 0xFA, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0xE3, 0x36, 0x46, 0x41, 0x4D, 0x2D, 0x32

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x31, 0x2F, 0x31, 0x30, 0x2F, 0x33, 0x31

Diag: 0x742, 0x22, 0x03, 0x19, 0xFF, 0xFF, 0xCF, 0x22, 0x00

Diag: 0x742, 0x23, 0x4A, 0x80, 0x00, 0x08, 0x4A, 0xA4, 0x31

Diag: 0x742, 0x24, 0x08, 0x00, 0x01, 0x40, 0x21, 0x4A, 0xD8

Diag: 0x742, 0x25, 0x22, 0x00, 0x19, 0xB2, 0x00, 0x00, 0x01

Diag: 0x742, 0x26, 0x00, 0x02, 0x00, 0x01, 0x00, 0x03, 0x00

Diag: 0x742, 0x27, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00, 0x04

Diag: 0x742, 0x28, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00

Diag: 0x742, 0x29, 0x03, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01

Diag: 0x742, 0x2A, 0x00, 0x05, 0x00, 0x01, 0x00, 0x02, 0x00

Diag: 0x742, 0x2B, 0x01, 0x00, 0x03, 0x00, 0x01, 0x00, 0x02

Diag: 0x742, 0x2C, 0x00, 0x01, 0x00, 0x04, 0x00, 0x01, 0x00

Diag: 0x742, 0x2D, 0x02, 0x00, 0x01, 0x00, 0x03, 0x00, 0x01

Diag: 0x742, 0x2E, 0x00, 0x02, 0x00, 0x01, 0x00, 0x06, 0x00

Diag: 0x742, 0x2F, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00, 0x03

Diag: 0x742, 0x20, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00

Diag: 0x742, 0x21, 0x04, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01

Diag: 0x742, 0x22, 0x00, 0x03, 0x00, 0x01, 0x00, 0x02, 0x00

Diag: 0x742, 0x23, 0x01, 0x00, 0x05, 0x00, 0x01, 0x00, 0x02

Diag: 0x742, 0x24, 0x00, 0x01, 0x00, 0x03, 0x00, 0x01, 0x00

Diag: 0x742, 0x25, 0x02, 0x00, 0x01, 0x00, 0x04, 0x00, 0x01

Diag: 0x742, 0x26, 0x00, 0x02, 0x00, 0x01, 0x00, 0x03, 0x00

Diag: 0x742, 0x27, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00, 0x07

Diag: 0x742, 0x28, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00

Diag: 0x742, 0x29, 0x03, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01

Diag: 0x742, 0x2A, 0x00, 0x04, 0x00, 0x01, 0x00, 0x02, 0x00

Diag: 0x742, 0x2B, 0x01, 0x00, 0x03, 0x00, 0x01, 0x00, 0x02

Diag: 0x742, 0x2C, 0x00, 0x01, 0x00, 0x05, 0x00, 0x01, 0x00

Diag: 0x742, 0x2D, 0x02, 0x00, 0x01, 0x00, 0x03, 0x00, 0x01

Diag: 0x742, 0x2E, 0x00, 0x02, 0x00, 0x01, 0x00, 0x04, 0x00

Diag: 0x742, 0x2F, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00, 0x03

Diag: 0x742, 0x20, 0x00, 0x01, 0x10, 0x5D, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x76, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0xE3, 0x36, 0x00, 0x02, 0x00, 0x01, 0x00

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x06, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01

Diag: 0x742, 0x22, 0x00, 0x03, 0x00, 0x01, 0x00, 0x02, 0x00

Diag: 0x742, 0x23, 0x01, 0x00, 0x04, 0x00, 0x01, 0x00, 0x02

Diag: 0x742, 0x24, 0x00, 0x01, 0x00, 0x03, 0x00, 0x01, 0x00

Diag: 0x742, 0x25, 0x02, 0x00, 0x01, 0x00, 0x05, 0x00, 0x01

Diag: 0x742, 0x26, 0x00, 0x02, 0x00, 0x01, 0x00, 0x03, 0x00

Diag: 0x742, 0x27, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00, 0x04

Diag: 0x742, 0x28, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01, 0x00

Diag: 0x742, 0x29, 0x03, 0x00, 0x01, 0x00, 0x02, 0x00, 0x01

Diag: 0x742, 0x2A, 0x00, 0x14, 0x16, 0x10, 0x12, 0x18, 0x15

Diag: 0x742, 0x2B, 0x17, 0x11, 0x13, 0x19, 0x1A, 0x1C, 0x26

Diag: 0x742, 0x2C, 0x28, 0x24, 0x22, 0x20, 0x2A, 0x1B, 0x1D

Diag: 0x742, 0x2D, 0x27, 0x29, 0x25, 0x23, 0x21, 0x2B, 0x0D

Diag: 0x742, 0x2E, 0x0E, 0x0B, 0x0C, 0x0F, 0x00, 0x10, 0x11

Diag: 0x742, 0x2F, 0x12, 0x13, 0x14, 0x16, 0x15, 0x17, 0x04

Diag: 0x742, 0x20, 0x0D, 0x04, 0x0E, 0x04, 0x0F, 0x04, 0x10

Diag: 0x742, 0x21, 0x04, 0x0B, 0x04, 0x0C, 0x04, 0x09, 0x04

Diag: 0x742, 0x22, 0x0A, 0x04, 0x05, 0x04, 0x06, 0x04, 0x03

Diag: 0x742, 0x23, 0x04, 0x04, 0x04, 0x01, 0x04, 0x02, 0x04

Diag: 0x742, 0x24, 0x07, 0x04, 0x08, 0x04, 0x13, 0x04, 0x14

Diag: 0x742, 0x25, 0x04, 0x11, 0x04, 0x12, 0x04, 0x17, 0x04

Diag: 0x742, 0x26, 0x18, 0x04, 0x15, 0x04, 0x16, 0x04, 0x19

Diag: 0x742, 0x27, 0x04, 0x1A, 0x1A, 0x2A, 0x24, 0x28, 0x22

Diag: 0x742, 0x28, 0x1C, 0x26, 0x20, 0x20, 0x2A, 0x24, 0x28

Diag: 0x742, 0x29, 0x22, 0x26, 0x1A, 0x1C, 0x1B, 0x2B, 0x25

Diag: 0x742, 0x2A, 0x29, 0x23, 0x1D, 0x27, 0x21, 0x21, 0x2B

Diag: 0x742, 0x2B, 0x25, 0x29, 0x23, 0x27, 0x1B, 0x1D, 0x10

Diag: 0x742, 0x2C, 0x17, 0x14, 0x13, 0x16, 0x11, 0x12, 0x15

Diag: 0x742, 0x2D, 0x15, 0x17, 0x14, 0x13, 0x16, 0x12, 0x10

Diag: 0x742, 0x2E, 0x11, 0x04, 0x0D, 0x04, 0x0E, 0x04, 0x0F

Diag: 0x742, 0x2F, 0x04, 0x10, 0x04, 0x0B, 0x04, 0x0C, 0x04

Diag: 0x742, 0x20, 0x09, 0x04, 0x54, 0x5D, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x76, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0xE3, 0x36, 0x0A, 0x04, 0x05, 0x04, 0x06

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x04, 0x03, 0x04, 0x04, 0x04, 0x01, 0x04

Diag: 0x742, 0x22, 0x02, 0x04, 0x07, 0x04, 0x08, 0x04, 0x01

Diag: 0x742, 0x23, 0x04, 0x02, 0x04, 0x07, 0x04, 0x08, 0x04

Diag: 0x742, 0x24, 0x05, 0x04, 0x06, 0x04, 0x09, 0x04, 0x0A

